extrinsic ID: 0, pallet name: Timestamp, pallet function: set
extrinsic ID: 1, pallet name: ParaInherent, pallet function: enter
extrinsic ID: 0, pallet name: ParachainSystem, pallet function: set_validation_data
extrinsic ID: 1, pallet name: Timestamp, pallet function: set
extrinsic ID: 0, pallet name: Timestamp, pallet function: set
extrinsic ID: 1, pallet name: ParaInherent, pallet function: enter
extrinsic ID: 2, pallet name: Balances, pallet function: transfer_allow_death
extrinsic ID: 0, pallet name: Timestamp, pallet function: set
extrinsic ID: 1, pallet name: ParaInherent, pallet function: enter
extrinsic ID: 2, pallet name: Balances, pallet function: transfer_allow_death
extrinsic ID: 0, pallet name: Timestamp, pallet function: set
extrinsic ID: 1, pallet name: ParaInherent, pallet function: enter
extrinsic ID: 2, pallet name: Balances, pallet function: transfer_allow_death
extrinsic ID: 0, pallet name: Timestamp, pallet function: set
extrinsic ID: 1, pallet name: ParaInherent, pallet function: enter
extrinsic ID: 2, pallet name: Balances, pallet function: transfer_keep_alive
extrinsic ID: 3, pallet name: Balances, pallet function: transfer_allow_death
extrinsic ID: 4, pallet name: NominationPools, pallet function: bond_extra
extrinsic ID: 0, pallet name: ParachainSystem, pallet function: set_validation_data
extrinsic ID: 1, pallet name: Timestamp, pallet function: set
extrinsic ID: 0, pallet name: ParachainSystem, pallet function: set_validation_data
extrinsic ID: 1, pallet name: Timestamp, pallet function: set
extrinsic ID: 0, pallet name: Timestamp, pallet function: set
extrinsic ID: 1, pallet name: ParaInherent, pallet function: enter
extrinsic ID: 2, pallet name: Balances, pallet function: transfer_keep_alive
extrinsic ID: 3, pallet name: Balances, pallet function: transfer_allow_death
extrinsic ID: 4, pallet name: NominationPools, pallet function: bond_extra
extrinsic ID: 0, pallet name: ParachainSystem, pallet function: set_validation_data
extrinsic ID: 1, pallet name: Timestamp, pallet function: set
extrinsic ID: 0, pallet name: Timestamp, pallet function: set
extrinsic ID: 1, pallet name: ParaInherent, pallet function: enter
extrinsic ID: 2, pallet name: Balances, pallet function: transfer_allow_death
extrinsic ID: 0, pallet name: ParachainSystem, pallet function: set_validation_data
extrinsic ID: 1, pallet name: Timestamp, pallet function: set
extrinsic ID: 0, pallet name: ParachainSystem, pallet function: set_validation_data
extrinsic ID: 1, pallet name: Timestamp, pallet function: set
extrinsic ID: 0, pallet name: Timestamp, pallet function: set
extrinsic ID: 1, pallet name: ParaInherent, pallet function: enter
extrinsic ID: 2, pallet name: Balances, pallet function: transfer_allow_death
